CODST,1961,2016,Diferenta temp
15015,8.561643836,9.013661202,0.452017367
15020,9.516164384,11.0863388,1.570174414
15090,9.99369863,11.32677596,1.333077326
15120,9.177260274,9.71284153,0.535581256
15150,9.382465753,10.74262295,1.360157197
15170,6.011780822,6.869945355,0.858164533
15200,11.25452055,11.59480874,0.340288195
15230,9.894246575,10.65737705,0.763130474
15260,9.022191781,9.839617486,0.817425706
15280,-2.155616438,-1.755464481,0.400151957
15292,11.09808219,11.25464481,0.156562617
15310,11.19561644,12.3715847,1.175968261
15335,11.42547945,12.61065574,1.185176286
15346,10.81808219,11.73442623,0.916344038
15350,11.16712329,12.22486339,1.0577401
15360,12.14767123,12.68060109,0.53292986
15410,12.19424658,12.99754098,0.803294408
15420,11.35643836,11.48142077,0.124982409
15450,11.5690411,11.95765027,0.388609177
15460,11.73506849,12.75409836,1.019029868
15470,11.43945205,12.04371585,0.604263792
15480,12.18136986,13.36174863,1.180378771
